epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.58186,1.87505,4.15848,1.30549,0.01922,0.18466,0.01408,0.0108,1.0816,4.14617,0.97472,9.999e-05,9.999e-05,9.999e-05
2,4.3563,1.56669,3.57765,1.05139,0.04796,0.30188,0.13763,0.11026,0.93025,4.06479,0.92308,0.000209,0.000209,0.000209
3,6.07829,1.48447,2.84355,1.05218,0.0165,0.34087,0.15508,0.11892,0.97034,4.07742,0.9571,0.000315811,0.000315811,0.000315811
4,7.95818,1.45613,2.27545,1.02062,0.01161,0.40976,0.24436,0.164,1.07764,3.91689,1.01805,0.000420421,0.000420421,0.000420421
5,9.68726,1.38048,1.89504,0.99724,0.00675,0.38263,0.18554,0.10069,1.02397,3.87786,1.02857,0.000522832,0.000522832,0.000522832
6,11.3858,1.35072,1.7077,0.99998,0.59676,0.08434,0.28848,0.18472,1.01146,3.66067,1.03529,0.000623043,0.000623043,0.000623043
7,13.0766,1.34026,1.59238,1.01155,0.37914,0.42983,0.38508,0.29161,0.99795,3.44853,1.03595,0.000721055,0.000721055,0.000721055
8,14.7611,1.29033,1.53199,1.0005,0.02258,0.79905,0.50567,0.3772,1.06698,3.30989,1.04706,0.000816866,0.000816866,0.000816866
9,16.4731,1.25065,1.44228,1.00195,0.91168,0.26742,0.6973,0.52246,1.00759,2.94865,1.00351,0.000910478,0.000910478,0.000910478
10,18.3015,1.20676,1.37616,0.99244,0.79681,0.48151,0.7637,0.55841,1.04527,2.54864,1.02936,0.00100189,0.00100189,0.00100189
11,20.0117,1.20319,1.37386,0.97308,0.81955,0.59514,0.76454,0.56564,0.97908,2.35949,1.05344,0.00100101,0.00100101,0.00100101
12,21.7609,1.22607,1.39203,1.01653,0.78455,0.63602,0.76788,0.5702,1.05127,2.30592,1.10816,0.000990012,0.000990012,0.000990012
13,23.4873,1.21149,1.32469,1.00341,0.79548,0.73066,0.80807,0.5813,1.06449,2.03532,1.0914,0.000979013,0.000979013,0.000979013
14,25.1984,1.10861,1.17443,0.95214,0.78104,0.79535,0.80233,0.58783,1.00434,1.6912,1.06843,0.000968014,0.000968014,0.000968014
15,26.9066,1.18545,1.27531,0.96863,0.81882,0.79633,0.82798,0.60642,1.02106,1.7468,1.08531,0.000957015,0.000957015,0.000957015
16,28.6263,1.20485,1.27583,0.99127,0.7944,0.83037,0.82586,0.60062,1.07026,1.49212,1.12536,0.000946016,0.000946016,0.000946016
17,30.4315,1.19613,1.31229,1.00886,0.81623,0.83648,0.84512,0.62349,1.00304,1.38836,1.0757,0.000935018,0.000935018,0.000935018
18,32.1853,1.21012,1.21128,0.96667,0.81867,0.85019,0.87167,0.65362,0.99769,1.3229,1.0832,0.000924019,0.000924019,0.000924019
19,33.7879,1.18426,1.18919,0.99862,0.76983,0.89987,0.85991,0.65793,0.93495,1.2707,1.05226,0.00091302,0.00091302,0.00091302
20,35.4217,1.1456,1.18171,0.98094,0.84697,0.82584,0.87575,0.65959,0.90773,1.18061,1.06164,0.000902021,0.000902021,0.000902021
21,37.0021,1.14839,1.21084,1.01807,0.832,0.80655,0.85925,0.64507,0.9399,1.20005,1.065,0.000891022,0.000891022,0.000891022
22,38.6051,1.10258,1.12991,0.98645,0.87111,0.85407,0.88787,0.67463,0.91877,1.20887,1.06713,0.000880023,0.000880023,0.000880023
23,40.3075,1.13783,1.18635,0.99827,0.83292,0.87385,0.88264,0.69176,0.87264,1.18059,1.04007,0.000869024,0.000869024,0.000869024
24,41.9123,1.09091,1.13748,0.96927,0.80917,0.84723,0.8743,0.66402,0.91893,1.26295,1.02329,0.000858025,0.000858025,0.000858025
25,43.4622,1.02752,1.10116,0.92987,0.8327,0.85435,0.87777,0.67465,0.8567,1.19069,1.02273,0.000847026,0.000847026,0.000847026
26,45.0546,1.04582,1.07562,0.93938,0.85937,0.84638,0.88512,0.68477,0.87471,1.14808,1.04315,0.000836027,0.000836027,0.000836027
27,46.6559,1.07205,1.0766,0.95817,0.8415,0.87514,0.88226,0.67387,0.90708,1.09239,1.0388,0.000825029,0.000825029,0.000825029
28,48.27,1.0481,1.03633,0.96,0.87831,0.86558,0.89422,0.68538,0.90569,1.10027,1.04427,0.00081403,0.00081403,0.00081403
29,49.8978,1.0196,1.0727,0.93926,0.84054,0.8788,0.85846,0.65163,0.93061,1.16003,1.03595,0.000803031,0.000803031,0.000803031
30,51.7273,1.05827,1.07115,0.97495,0.82327,0.87984,0.85685,0.66148,0.86267,1.20158,1.04377,0.000792032,0.000792032,0.000792032
31,53.4232,1.04518,1.05299,0.9802,0.88686,0.85249,0.88643,0.67977,0.83464,1.06917,1.02813,0.000781033,0.000781033,0.000781033
32,55.1293,1.00001,1.05221,0.97642,0.83423,0.88087,0.89158,0.68227,0.88354,0.979,1.04149,0.000770034,0.000770034,0.000770034
33,56.8095,1.04093,1.03963,0.95876,0.85799,0.88921,0.90379,0.69856,0.90756,1.00741,1.0496,0.000759035,0.000759035,0.000759035
34,58.5268,1.02406,1.00544,0.95117,0.86455,0.90749,0.90495,0.70148,0.82271,0.96546,1.05365,0.000748036,0.000748036,0.000748036
35,60.2058,1.01069,1.03075,0.93943,0.8442,0.88572,0.89219,0.68836,0.8935,0.98256,1.08534,0.000737037,0.000737037,0.000737037
36,61.9049,1.03419,1.03028,0.95676,0.91299,0.83607,0.89927,0.69057,0.86293,1.10894,1.05632,0.000726038,0.000726038,0.000726038
37,63.7071,1.0005,0.97775,0.93049,0.87775,0.85227,0.89613,0.69556,0.80014,1.08776,1.04113,0.00071504,0.00071504,0.00071504
38,65.4097,0.97581,1.0064,0.94527,0.82972,0.88562,0.88993,0.68858,0.82212,1.04346,1.03485,0.000704041,0.000704041,0.000704041
39,67.0698,1.0097,0.95857,0.93153,0.88338,0.88284,0.90788,0.70526,0.81123,0.99989,1.03674,0.000693042,0.000693042,0.000693042
40,68.7673,0.98271,0.98174,0.94486,0.88593,0.88145,0.90638,0.70078,0.8358,0.95757,1.04686,0.000682043,0.000682043,0.000682043
41,70.4259,1.01039,0.99124,0.9443,0.88276,0.89913,0.91136,0.7068,0.81496,0.93506,1.03864,0.000671044,0.000671044,0.000671044
42,72.139,1.0169,1.003,0.96761,0.90545,0.85994,0.9065,0.70197,0.80697,0.94524,1.03791,0.000660045,0.000660045,0.000660045
43,73.8898,0.94674,0.93877,0.93358,0.88766,0.85267,0.89851,0.69674,0.79897,0.93565,1.03756,0.000649046,0.000649046,0.000649046
44,75.5899,0.9694,0.93199,0.92608,0.87597,0.87894,0.90255,0.70364,0.79953,0.90969,1.03832,0.000638047,0.000638047,0.000638047
45,77.2693,0.94214,0.92381,0.92208,0.89342,0.87274,0.91461,0.7114,0.82222,0.92391,1.04822,0.000627048,0.000627048,0.000627048
46,78.9905,0.95214,0.90982,0.93186,0.83844,0.89152,0.9073,0.70338,0.77567,0.88221,1.02732,0.000616049,0.000616049,0.000616049
47,80.6842,0.95319,0.90227,0.9351,0.8308,0.8985,0.90389,0.71566,0.79,0.87734,1.02646,0.000605051,0.000605051,0.000605051
48,82.4044,0.97707,0.93002,0.93801,0.9185,0.83482,0.89649,0.69426,0.82018,0.92501,1.01678,0.000594052,0.000594052,0.000594052
49,84.0935,0.98691,0.90112,0.92091,0.9178,0.84051,0.8959,0.69691,0.81539,0.92893,1.02144,0.000583053,0.000583053,0.000583053
50,85.9821,0.94928,0.92729,0.94938,0.86108,0.8639,0.90244,0.70481,0.82563,0.91064,1.01901,0.000572054,0.000572054,0.000572054
51,87.6981,0.95399,0.9228,0.93277,0.90063,0.83996,0.90762,0.70522,0.83364,0.87617,1.02656,0.000561055,0.000561055,0.000561055
52,89.4828,0.89496,0.85837,0.90619,0.8988,0.8568,0.91334,0.71554,0.83267,0.83383,1.0361,0.000550056,0.000550056,0.000550056
53,91.2013,0.95216,0.88828,0.93782,0.87453,0.88511,0.91859,0.72593,0.79808,0.81158,1.02003,0.000539057,0.000539057,0.000539057
54,92.9684,0.92226,0.91932,0.92468,0.88569,0.89196,0.91436,0.71859,0.85316,0.83328,1.03928,0.000528058,0.000528058,0.000528058
55,94.6727,0.90509,0.92503,0.92688,0.89976,0.8826,0.91879,0.72722,0.80688,0.80361,1.02801,0.000517059,0.000517059,0.000517059
56,96.4452,0.89342,0.85519,0.92057,0.84853,0.91185,0.92711,0.72695,0.80647,0.83439,1.01715,0.00050606,0.00050606,0.00050606
57,98.2823,0.92995,0.86744,0.92618,0.8331,0.91586,0.91332,0.72844,0.77917,0.85514,1.01679,0.000495062,0.000495062,0.000495062
58,100.026,0.93089,0.91237,0.93174,0.83152,0.91715,0.91317,0.72586,0.77546,0.82911,1.01555,0.000484063,0.000484063,0.000484063
59,101.769,0.87538,0.87669,0.92715,0.89994,0.84508,0.9112,0.72161,0.7861,0.84342,1.01938,0.000473064,0.000473064,0.000473064
60,103.484,0.92633,0.91024,0.93952,0.90987,0.86669,0.91127,0.73235,0.77172,0.81452,1.01256,0.000462065,0.000462065,0.000462065
61,105.183,0.88444,0.87732,0.95105,0.94015,0.84578,0.92042,0.72539,0.7568,0.81135,1.01619,0.000451066,0.000451066,0.000451066
