epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.05491,1.47344,4.40269,1.21692,0.01565,0.71699,0.38613,0.2999,0.9727,4.59689,1.05359,0.000360588,0.000360588,0.000360588
2,12.4219,1.39416,3.2646,1.11536,0.8,0.09349,0.50238,0.34652,1.07136,4.10713,1.09227,0.000727303,0.000727303,0.000727303
3,17.6881,1.31413,2.6587,1.05502,0.7616,0.66893,0.7806,0.53337,1.09391,3.06177,1.09035,0.00109035,0.00109035,0.00109035
4,22.984,1.30439,2.42355,1.10808,0.66168,0.7354,0.77581,0.57862,1.09321,2.70095,1.12249,0.0010945,0.0010945,0.0010945
5,28.3693,1.2774,2.24881,1.08661,0.74102,0.73739,0.80833,0.60622,1.06315,2.5563,1.10661,0.001089,0.001089,0.001089
6,33.7047,1.27164,2.39267,1.09991,0.77607,0.7635,0.81484,0.5898,1.12893,2.40028,1.14674,0.0010835,0.0010835,0.0010835
7,39.0392,1.2302,1.98116,1.08495,0.72727,0.80772,0.84036,0.6484,0.98003,2.24864,1.09589,0.001078,0.001078,0.001078
8,44.487,1.17873,2.03885,1.05219,0.8802,0.77578,0.86429,0.62449,1.03149,2.16794,1.10771,0.0010725,0.0010725,0.0010725
9,50.0103,1.21385,1.82024,1.0452,0.88058,0.79345,0.87901,0.64927,0.99294,2.03032,1.1025,0.001067,0.001067,0.001067
10,55.4034,1.1709,1.92281,1.04074,0.78971,0.85536,0.8824,0.66011,0.99092,2.12546,1.09434,0.0010615,0.0010615,0.0010615
11,60.8399,1.15062,1.92227,1.06577,0.78711,0.86955,0.87778,0.67315,0.97481,1.8887,1.06981,0.00105601,0.00105601,0.00105601
12,66.2335,1.17744,1.91553,1.06643,0.81301,0.86044,0.88838,0.68779,0.93101,1.86263,1.04997,0.00105051,0.00105051,0.00105051
13,71.5153,1.06079,1.83421,1.02586,0.8103,0.87029,0.88703,0.67281,0.92163,1.98514,1.03886,0.00104501,0.00104501,0.00104501
14,76.7569,1.10266,1.8714,1.07176,0.90455,0.82404,0.91826,0.70796,0.90495,1.80045,1.03885,0.00103951,0.00103951,0.00103951
15,82.0083,1.12436,1.59047,1.0431,0.82311,0.86535,0.90428,0.68891,0.93383,1.67378,1.06756,0.00103401,0.00103401,0.00103401
16,87.2595,1.10725,1.5251,1.02942,0.84273,0.87869,0.905,0.68268,0.92397,1.55788,1.07155,0.00102851,0.00102851,0.00102851
17,92.6918,1.04634,1.61404,1.01611,0.84813,0.86842,0.90071,0.70033,0.87864,1.58031,1.03654,0.00102301,0.00102301,0.00102301
18,97.9811,1.03211,1.52619,1.03771,0.87039,0.87834,0.90399,0.68445,0.9012,1.55634,1.05329,0.00101751,0.00101751,0.00101751
19,103.288,1.08096,1.49921,1.0384,0.86174,0.85103,0.90011,0.70097,0.93108,1.59947,1.06578,0.00101201,0.00101201,0.00101201
20,108.549,1.04142,1.38984,1.01815,0.86522,0.88976,0.90721,0.71208,0.89168,1.49704,1.0475,0.00100651,0.00100651,0.00100651
21,113.792,0.9917,1.33605,0.99949,0.85634,0.90119,0.91528,0.72145,0.90519,1.4248,1.05864,0.00100101,0.00100101,0.00100101
22,119.081,1.08223,1.38521,1.01154,0.87133,0.91096,0.92928,0.72673,0.88632,1.30214,1.0495,0.000995512,0.000995512,0.000995512
23,124.369,0.97499,1.47362,1.01982,0.92005,0.86568,0.92052,0.71972,0.87952,1.34394,1.06935,0.000990012,0.000990012,0.000990012
24,129.775,0.98,1.20055,0.97605,0.8886,0.89033,0.92482,0.72734,0.86859,1.30481,1.06973,0.000984513,0.000984513,0.000984513
25,134.968,0.94685,1.278,0.98331,0.91894,0.85574,0.92499,0.72378,0.86332,1.25792,1.04719,0.000979013,0.000979013,0.000979013
26,141.602,1.00443,1.38292,1.02142,0.90754,0.8763,0.92236,0.72956,0.8625,1.29767,1.04914,0.000973514,0.000973514,0.000973514
27,148.406,1.02036,1.27011,1.01507,0.89385,0.89449,0.9244,0.73555,0.82877,1.19876,1.02754,0.000968014,0.000968014,0.000968014
28,153.843,0.98048,1.17608,0.9871,0.86777,0.91365,0.92566,0.73094,0.84828,1.18418,1.02922,0.000962515,0.000962515,0.000962515
29,158.93,0.9371,1.22566,1.00267,0.87692,0.92667,0.93018,0.7441,0.8471,1.18733,1.03841,0.000957015,0.000957015,0.000957015
30,163.987,1.00582,1.20973,1.02195,0.91638,0.90313,0.94097,0.75878,0.83823,1.13394,1.04908,0.000951516,0.000951516,0.000951516
31,169.003,0.97021,1.11348,0.98544,0.86353,0.90313,0.9355,0.7515,0.82954,1.19908,1.0557,0.000946016,0.000946016,0.000946016
32,173.971,0.9355,1.29554,1.0193,0.83838,0.91639,0.92471,0.74812,0.83717,1.20169,1.06399,0.000940517,0.000940517,0.000940517
33,178.949,1.01503,1.11432,0.98997,0.86063,0.91523,0.91544,0.72823,0.88357,1.31286,1.05586,0.000935018,0.000935018,0.000935018
