epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.76473,1.35211,4.80269,1.19268,0.02686,0.70403,0.25239,0.18755,0.90873,4.58298,1.00869,0.000365396,0.000365396,0.000365396
2,14.261,1.35457,3.48095,1.16241,0.66049,0.54869,0.60885,0.40824,1.13185,3.69573,1.14327,0.000728445,0.000728445,0.000728445
3,20.9202,1.42648,3.89043,1.20693,0.58954,0.67837,0.63189,0.41657,1.20267,3.91376,1.18531,0.00108416,0.00108416,0.00108416
4,27.4052,1.35298,3.13627,1.19235,0.60208,0.69728,0.70834,0.47219,1.23011,3.80281,1.31216,0.001078,0.001078,0.001078
5,33.84,1.37242,2.77397,1.18494,0.73785,0.69455,0.76807,0.54577,1.07436,3.55699,1.24602,0.001067,0.001067,0.001067
6,40.5351,1.35713,2.58689,1.13968,0.73418,0.78825,0.8045,0.58624,1.09326,2.85608,1.17191,0.00105601,0.00105601,0.00105601
7,47.0094,1.38091,2.83479,1.21575,0.77391,0.78103,0.8288,0.60339,1.11872,2.87903,1.14205,0.00104501,0.00104501,0.00104501
8,53.5119,1.25752,3.02292,1.13626,0.83261,0.68736,0.80566,0.601,1.10298,2.82809,1.17286,0.00103401,0.00103401,0.00103401
9,59.9999,1.26869,2.34925,1.13798,0.81268,0.7975,0.86127,0.63855,1.04694,2.4093,1.13614,0.00102301,0.00102301,0.00102301
10,66.4302,1.17319,2.47044,1.13182,0.7692,0.81178,0.81119,0.59794,0.9837,2.49101,1.11522,0.00101201,0.00101201,0.00101201
11,72.8705,1.24105,2.43803,1.14036,0.8603,0.75619,0.85684,0.65009,0.9655,2.4159,1.11058,0.00100101,0.00100101,0.00100101
12,79.2895,1.18392,2.48013,1.13271,0.73239,0.81702,0.86683,0.65636,0.95367,2.18816,1.1235,0.000990012,0.000990012,0.000990012
13,85.6949,1.18295,2.09052,1.11365,0.81648,0.90158,0.89659,0.66447,0.98984,2.15134,1.13948,0.000979013,0.000979013,0.000979013
14,92.2935,1.20799,2.10704,1.17431,0.84964,0.85165,0.88077,0.66408,0.93415,2.02069,1.1356,0.000968014,0.000968014,0.000968014
15,98.7512,1.21368,1.97463,1.16979,0.84492,0.88066,0.89395,0.65823,0.96011,1.99341,1.11404,0.000957015,0.000957015,0.000957015
16,105.317,1.20842,1.92161,1.11514,0.86773,0.87701,0.90023,0.68872,0.9323,1.84277,1.10521,0.000946016,0.000946016,0.000946016
17,111.8,1.09008,2.02254,1.07808,0.87138,0.81508,0.88238,0.67431,0.95476,1.8474,1.10816,0.000935018,0.000935018,0.000935018
18,118.306,1.11139,1.87143,1.09359,0.88316,0.84354,0.90504,0.69848,0.96469,1.8179,1.0956,0.000924019,0.000924019,0.000924019
19,124.869,1.125,1.89073,1.09517,0.88551,0.87091,0.91289,0.7205,0.89638,1.6957,1.09435,0.00091302,0.00091302,0.00091302
20,131.425,1.14413,1.92666,1.13246,0.86831,0.90653,0.90748,0.6872,0.93931,1.69105,1.09971,0.000902021,0.000902021,0.000902021
21,137.797,1.11419,2.01591,1.1111,0.81916,0.88845,0.8959,0.67748,0.91977,1.64552,1.08712,0.000891022,0.000891022,0.000891022
22,144.318,1.07953,1.72113,1.07916,0.81804,0.88189,0.9134,0.71261,0.90254,1.72953,1.07313,0.000880023,0.000880023,0.000880023
23,150.862,1.12412,1.86118,1.1099,0.9077,0.82874,0.91409,0.70455,0.92894,1.61569,1.07492,0.000869024,0.000869024,0.000869024
24,157.385,1.07937,2.26482,1.0867,0.86649,0.83325,0.89152,0.68706,0.95753,1.61138,1.11119,0.000858025,0.000858025,0.000858025
25,163.793,1.07687,1.74767,1.09313,0.82094,0.8644,0.89934,0.70443,0.9247,1.5965,1.11821,0.000847026,0.000847026,0.000847026
26,170.134,1.0244,1.9317,1.04442,0.79005,0.90248,0.90696,0.71108,0.91067,1.59588,1.0969,0.000836027,0.000836027,0.000836027
27,176.494,1.00156,1.66995,1.02277,0.80106,0.90994,0.90862,0.6919,0.90012,1.56902,1.0971,0.000825029,0.000825029,0.000825029
28,182.966,0.98395,1.61759,1.04443,0.86861,0.84504,0.90933,0.70754,0.90412,1.53219,1.09109,0.00081403,0.00081403,0.00081403
29,189.548,1.07717,1.65423,1.08691,0.91467,0.84069,0.91592,0.72527,0.85676,1.46201,1.08944,0.000803031,0.000803031,0.000803031
30,195.917,1.03334,1.55546,1.06014,0.92878,0.85957,0.92577,0.71571,0.92574,1.3538,1.07756,0.000792032,0.000792032,0.000792032
31,202.256,1.04417,1.48814,1.06975,0.88845,0.91789,0.92584,0.71314,0.90545,1.30847,1.07723,0.000781033,0.000781033,0.000781033
32,208.679,1.02795,1.55869,1.0862,0.88805,0.8731,0.92134,0.72098,0.86878,1.42391,1.07099,0.000770034,0.000770034,0.000770034
33,215.03,1.02239,1.58037,1.07356,0.88328,0.90674,0.92282,0.71796,0.87872,1.21678,1.08235,0.000759035,0.000759035,0.000759035
34,221.401,1.0226,1.56849,1.08245,0.86182,0.90225,0.92933,0.72499,0.87713,1.2073,1.07958,0.000748036,0.000748036,0.000748036
35,227.83,1.03265,1.41867,1.02548,0.90195,0.86889,0.93117,0.73039,0.84485,1.23563,1.05914,0.000737037,0.000737037,0.000737037
